time_s,speed_kph
0.0000,0.0000
1.0000,0.0000
2.0000,0.0000
3.0000,0.0000
4.0000,0.0000
5.0000,0.0000
6.0000,0.0000
7.0000,0.0000
8.0000,0.0000
9.0000,0.0000
10.0000,0.0000
11.0000,0.0000
12.0000,0.0000
13.0000,0.0000
14.0000,0.0000
15.0000,0.0000
16.0000,0.0000
17.0000,0.0000
18.0000,0.0000
19.0000,0.0000
20.0000,0.0000
21.0000,0.0000
22.0000,0.0000
23.0000,0.0000
24.0000,0.0000
25.0000,0.0000
26.0000,0.0000
27.0000,0.0000
28.0000,0.0000
29.0000,0.0000
30.0000,0.0000
31.0000,0.0000
32.0000,4.3200
33.0000,9.7200
34.0000,15.1200
35.0000,20.5200
36.0000,21.4700
37.0000,21.4700
38.0000,21.4700
39.0000,21.4700
40.0000,21.4700
41.0000,21.4700
42.0000,21.4700
43.0000,21.4700
44.0000,21.4700
45.0000,21.4700
46.0000,21.4700
47.0000,21.4700
48.0000,21.4700
49.0000,21.4700
50.0000,21.4700
51.0000,21.4700
52.0000,21.4700
53.0000,21.4700
54.0000,21.4700
55.0000,21.4700
56.0000,21.4700
57.0000,21.4700
58.0000,21.4700
59.0000,21.4700
60.0000,21.4700
61.0000,21.4700
62.0000,21.4700
63.0000,21.4700
64.0000,21.4700
65.0000,21.4700
66.0000,21.4700
67.0000,21.4700
68.0000,21.4700
69.0000,21.4700
70.0000,21.4700
71.0000,21.4700
72.0000,21.4700
73.0000,21.4700
74.0000,21.4700
75.0000,21.4700
76.0000,21.4700
77.0000,21.4700
78.0000,21.4700
79.0000,21.4700
80.0000,21.4700
81.0000,21.4700
82.0000,21.4700
83.0000,21.4700
84.0000,21.4700
85.0000,21.4700
86.0000,21.4700
87.0000,21.4700
88.0000,21.4700
89.0000,21.4700
90.0000,21.4700
91.0000,21.4700
92.0000,21.4700
93.0000,21.4700
94.0000,21.4700
95.0000,21.4700
96.0000,21.4700
97.0000,21.4700
98.0000,21.4700
99.0000,21.4700
100.0000,21.4700
101.0000,21.4700
102.0000,21.4700
103.0000,21.4700
104.0000,21.4700
105.0000,21.4700
106.0000,21.4700
107.0000,21.4700
108.0000,21.4700
109.0000,21.4700
110.0000,21.4700
111.0000,21.4700
112.0000,21.4700
113.0000,21.4700
114.0000,21.4700
115.0000,21.4700
116.0000,21.4700
117.0000,21.4700
118.0000,21.4700
119.0000,21.4700
120.0000,21.4700
121.0000,21.4700
122.0000,21.4700
123.0000,21.4700
124.0000,21.4700
125.0000,21.4700
126.0000,21.4700
127.0000,21.4700
128.0000,21.4700
129.0000,21.4700
130.0000,21.4700
131.0000,21.4700
132.0000,21.4700
133.0000,21.4700
134.0000,21.4700
135.0000,21.4700
136.0000,21.4700
137.0000,21.4700
138.0000,21.4700
139.0000,21.4700
140.0000,21.4700
141.0000,21.4700
142.0000,21.4700
143.0000,21.4700
144.0000,21.4700
145.0000,21.4700
146.0000,21.4700
147.0000,21.4700
148.0000,21.4700
149.0000,21.4700
